antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'another', 'long'})",frozenset({'day'}),0.14431934493346982,0.5255885363357216,0.1138689866939611,0.7890070921985815,1.5011877878831823,1.0,0.038016393425448575,2.248471138711369,0.39016988333960545,0.20478601012425215,0.5552533529191243,0.5028287651840035
"frozenset({'another', 'look'})",frozenset({'day'}),0.14303991811668373,0.5255885363357216,0.11003070624360287,0.7692307692307692,1.4635607819638978,1.0,0.0348505650430736,2.0557830092118725,0.36960286652732155,0.1969766376546038,0.5135673388100571,0.48928919182083735
"frozenset({'another', 'looking'})",frozenset({'day'}),0.13561924257932445,0.5255885363357216,0.10440122824974411,0.769811320754717,1.464665356138965,1.0,0.0331213090435178,2.060967833951374,0.36702596965369927,0.1875,0.5147910687753151,0.48422406349323
"frozenset({'another', 'many'})",frozenset({'day'}),0.17400204708290687,0.5255885363357216,0.12640736949846468,0.726470588235294,1.3822040208488457,1.0,0.034953888252740345,1.734407501568329,0.3347681471336333,0.22053571428571425,0.42343422806015585,0.483488458674609
"frozenset({'another', 'much'})",frozenset({'day'}),0.15250767656090072,0.5255885363357216,0.1187308085977482,0.7785234899328859,1.4812413820144685,1.0,0.03857452209414276,2.1420396389690146,0.3833551974012993,0.21225983531564502,0.5331552312069677,0.5022120857648851
"frozenset({'another', 'night'})",frozenset({'day'}),0.13229273285568066,0.5255885363357216,0.10593654042988741,0.8007736943907157,1.5235752666401738,1.0,0.0364049966004176,2.381269191402252,0.3960426647975532,0.19193324061196107,0.5800558779282183,0.5011658150629333
"frozenset({'another', 'place'})",frozenset({'day'}),0.1604401228249744,0.5255885363357216,0.1202661207778915,0.7496012759170654,1.4262131384050105,1.0,0.035940631452789806,1.8946241255891882,0.3559514159538802,0.21257349615558574,0.472190823238345,0.48921154350867874
"frozenset({'another', 'pretty'})",frozenset({'day'}),0.12640736949846468,0.5255885363357216,0.10005117707267144,0.7914979757085021,1.505927015126011,1.0,0.033612912755924665,2.2753326509723655,0.38456962979277465,0.18127028280018545,0.5605038236617186,0.4909291241736279
"frozenset({'another', 'right'})",frozenset({'day'}),0.1461105424769703,0.5255885363357216,0.11131013306038895,0.7618213660245184,1.4494634364283439,1.0,0.03451610689669986,1.9918304834728167,0.36314950106606886,0.1986301369863014,0.4979492440257919,0.4868016275107987
"frozenset({'another', 'still'})",frozenset({'day'}),0.13689866939611053,0.5255885363357216,0.1041453428863869,0.7607476635514019,1.4474205789478476,1.0,0.032192971612177324,1.982891664534289,0.3581454402681798,0.18652612282309808,0.4956860135700532,0.4794488074329551
"frozenset({'another', 'take'})",frozenset({'day'}),0.1937052200614125,0.5255885363357216,0.14431934493346982,0.7450462351387055,1.4175465856485205,1.0,0.04251010184080317,1.860774497377507,0.36532025181693983,0.2510013351134847,0.46258936727187766,0.509816204229528
"frozenset({'another', 'day'})",frozenset({'take'}),0.1937052200614125,0.4728761514841351,0.14431934493346982,0.7450462351387055,1.5755631422738425,1.0,0.05272076594844159,2.0675272193083414,0.45306792169996685,0.27633512983831465,0.5163304305446899,0.5251205201667554
"frozenset({'another', 'two'})",frozenset({'day'}),0.14022517911975435,0.5255885363357216,0.10337768679631525,0.7372262773722628,1.4026681070938671,1.0,0.029676940145349176,1.8053991811668373,0.3338932107496465,0.183803457688808,0.4461058748494083,0.46695783196753354
"frozenset({'another', 'us'})",frozenset({'day'}),0.14329580348004095,0.5255885363357216,0.1072159672466735,0.7482142857142857,1.4235742105995273,1.0,0.03190133563254757,1.884187373418411,0.34731097253231363,0.19088838268792716,0.46926722145168753,0.476103248017805
"frozenset({'another', 'want'})",frozenset({'day'}),0.14943705220061412,0.5255885363357216,0.11489252814738997,0.7688356164383562,1.462808952795081,1.0,0.03635012660694438,2.052268850221768,0.3719698005194054,0.20511649154865236,0.5127344061710335,0.4937167371383602
"frozenset({'another', 'way'})",frozenset({'day'}),0.1811668372569089,0.5255885363357216,0.13561924257932445,0.7485875706214689,1.424284433295375,1.0,0.040400029752893835,1.8869849228893767,0.36380188679245284,0.2374551971326165,0.4700540593250811,0.5033103383779204
"frozenset({'another', 'day'})",frozenset({'way'}),0.1937052200614125,0.40736949846468784,0.13561924257932445,0.7001321003963011,1.7186659851436838,1.0,0.05670964423291486,1.9763052408027808,0.5186110429153966,0.291368884002199,0.49400528857890535,0.5165233366303114
"frozenset({'another', 'day'})",frozenset({'well'}),0.1937052200614125,0.4936028659160696,0.14380757420675538,0.7424042272126816,1.5040516951514566,1.0,0.04819412244153923,1.9658596435976168,0.4156410832690519,0.26459510357815447,0.4913166851678422,0.5168734459028675
"frozenset({'another', 'well'})",frozenset({'day'}),0.19959058341862845,0.5255885363357216,0.14380757420675538,0.7205128205128206,1.3708685991061846,1.0,0.03890505160136572,1.6974355121932905,0.33799637757005957,0.2473591549295775,0.41087599922551404,0.4970626419993509
"frozenset({'another', 'would'})",frozenset({'day'}),0.15097236438075742,0.5255885363357216,0.11514841351074719,0.7627118644067796,1.4511577244896277,1.0,0.03579906948872166,1.9993054540137445,0.3661777509878776,0.20510483135824978,0.4998263031832227,0.4908982885811892
"frozenset({'another', 'different'})",frozenset({'take'}),0.12768679631525076,0.4728761514841351,0.10056294779938588,0.7875751503006012,1.6654998308304922,1.0,0.04018290696249146,2.4814603812209115,0.458069009066705,0.20112589559877175,0.5970114987256065,0.5001187439814694
"frozenset({'another', 'different'})",frozenset({'well'}),0.12768679631525076,0.4936028659160696,0.10516888433981576,0.8236472945891784,1.6686436636881852,1.0,0.042142315738966554,2.871501930771379,0.45936582639770646,0.20376797223599402,0.6517501906288576,0.5183555290986328
"frozenset({'another', 'experience'})",frozenset({'even'}),0.15097236438075742,0.45445240532241554,0.11258955987717502,0.7457627118644067,1.6410138952511832,1.0,0.043979805747127634,2.145820539065165,0.4600800043838018,0.2284527518172378,0.5339778039240625,0.4967552298060772
"frozenset({'another', 'find'})",frozenset({'even'}),0.16786079836233367,0.45445240532241554,0.131525076765609,0.7835365853658537,1.7241334322127007,1.0,0.05524033319050549,2.5202762120316584,0.5047214285372427,0.26798748696558916,0.6032180936255892,0.5364754998901341
"frozenset({'another', 'food'})",frozenset({'even'}),0.15276356192425794,0.45445240532241554,0.11719549641760492,0.7671691792294807,1.6881177660072133,1.0,0.04777172825550613,2.343107295126028,0.48112220875499045,0.2391644908616188,0.5732163003887478,0.5125260310561818
"frozenset({'another', 'great'})",frozenset({'even'}),0.13613101330603888,0.45445240532241554,0.10465711361310133,0.768796992481203,1.691699688410215,1.0,0.042792047177194203,2.3596042306380083,0.4733108147255473,0.21537651395471302,0.5762001156737999,0.4995448926369979
"frozenset({'another', 'hours'})",frozenset({'even'}),0.12487205731832139,0.45445240532241554,0.10005117707267144,0.8012295081967213,1.7630658322256685,1.0,0.043302770266801745,2.7446105794088793,0.4945633478410434,0.20875600640683398,0.6356495863193184,0.5106935829271895
"frozenset({'another', 'know'})",frozenset({'even'}),0.13689866939611053,0.45445240532241554,0.10951893551688843,0.8,1.7603603603603606,1.0,0.04730500592438784,2.727737973387923,0.5004447079750963,0.22729686670207114,0.6333958724202627,0.5204954954954956
"frozenset({'another', 'little'})",frozenset({'even'}),0.1555783009211873,0.45445240532241554,0.12436028659160696,0.799342105263158,1.7589126955903274,1.0,0.05365735352199881,2.7187945701964877,0.5109614665170221,0.25605900948366705,0.6321899377900663,0.5364953769559033
"frozenset({'another', 'located'})",frozenset({'even'}),0.14124872057318322,0.45445240532241554,0.10619242579324463,0.7518115942028986,1.6543241611176394,1.0,0.04200160498004775,2.198118775635231,0.46057986415267743,0.21693674856246734,0.545065530086739,0.4927413826870349
"frozenset({'another', 'long'})",frozenset({'even'}),0.14431934493346982,0.45445240532241554,0.11156601842374617,0.7730496453900709,1.7010574404191425,1.0,0.04597974498417544,2.403819089048107,0.48164040208946046,0.22899159663865545,0.5839953162215746,0.5092725704427832
"frozenset({'another', 'look'})",frozenset({'even'}),0.14303991811668373,0.45445240532241554,0.11258955987717502,0.7871198568872987,1.7320182436461506,1.0,0.04758472503192673,2.5626983649140307,0.4931838540676999,0.2321899736147757,0.6097863042755924,0.5174338023175232
"frozenset({'another', 'looking'})",frozenset({'even'}),0.13561924257932445,0.45445240532241554,0.10875127942681678,0.8018867924528302,1.7645121536630972,1.0,0.04711878842863863,2.753716430277332,0.5012503047400133,0.22594364699627856,0.636854401925732,0.520594297127316
"frozenset({'another', 'made'})",frozenset({'even'}),0.12794268167860798,0.45445240532241554,0.10056294779938588,0.786,1.7295540540540542,1.0,0.04241908836714234,2.5492878255961897,0.4837024692685375,0.20870950610727565,0.6077335834896811,0.5036418918918919
"frozenset({'another', 'many'})",frozenset({'even'}),0.17400204708290687,0.45445240532241554,0.1297338792221085,0.7455882352941176,1.6406299682034975,1.0,0.050658230394257264,2.144348927056401,0.47273487164822586,0.26013340174448435,0.5336579847698927,0.5155306041335452
"frozenset({'another', 'much'})",frozenset({'even'}),0.15250767656090072,0.45445240532241554,0.12001023541453429,0.7869127516778524,1.7315625188947337,1.0,0.05070275497129999,2.5602076096680344,0.49851415798852533,0.24645296899632158,0.609406676152461,0.5254946641272145
"frozenset({'another', 'night'})",frozenset({'even'}),0.13229273285568066,0.45445240532241554,0.10107471852610031,0.7640232108317214,1.681195218429261,1.0,0.04095396787316048,2.311869724986157,0.466960569489602,0.20811380400421498,0.5674496753894781,0.4932165603708157
"frozenset({'another', 'place'})",frozenset({'even'}),0.1604401228249744,0.45445240532241554,0.1253838280450358,0.781499202551834,1.719650272281851,1.0,0.05247142831700241,2.496776217976973,0.49845928008509105,0.2561421850496602,0.5994835288801911,0.5287000517263675
"frozenset({'another', 'pretty'})",frozenset({'even'}),0.12640736949846468,0.45445240532241554,0.10184237461617196,0.805668016194332,1.7728325491483388,1.0,0.044396241497115345,2.8072969976117377,0.4990093996638142,0.21260683760683763,0.6437854630804172,0.5148835576467156
"frozenset({'another', 'really'})",frozenset({'even'}),0.12615148413510746,0.45445240532241554,0.10107471852610031,0.8012170385395538,1.7630383933629372,1.0,0.04374487312590818,2.7444384099596864,0.4952773504827919,0.21077908217716118,0.6356267291803829,0.5118134742247319
"frozenset({'another', 'right'})",frozenset({'even'}),0.1461105424769703,0.45445240532241554,0.11514841351074719,0.788091068301226,1.7341553462394095,1.0,0.04874812603912507,2.5744436079413293,0.4957906303066628,0.2372166578808645,0.611566554841084,0.5207347233398022
"frozenset({'another', 'still'})",frozenset({'even'}),0.13689866939611053,0.45445240532241554,0.11028659160696008,0.8056074766355141,1.7726993348488678,1.0,0.04807266201445949,2.806422722620268,0.5050259223821214,0.22925531914893618,0.6436744928196947,0.5241438284078471
